business_name;category;subcategory;city;province;region;address;website;email;phone;instagram_username;instagram_url;facebook_url;contact_name;source;source_url;provenienza;data_quality;score;priority;notes;osm_id;found_at
Ambulatorio Veterinario Alessandra Sammarco;Ambulatori veterinari;;Pizzo;VV;Calabria;Piazza San Francesco, 3 - 89812;;;+39 0963532448;;;;Dott.ssa Alessandra Sammarco;PagineGialle;https://www.paginebianche.it/calabria/tropea/ambulatorio-veterinario.html;manuale;62;54;C;Nuova copertura comune Pizzo (VV).;;
Ambulatorio Veterinario Qua La Zampa (di Rosella Bordacchini);Ambulatori veterinari;;Vibo Valentia;VV;Calabria;Via Pablo Neruda, 43 - 89900;;;+39 3292241336, +39 3387507993;;;;Dott.ssa Rosella Bordacchini;PagineBianche / PagineGialle;https://www.paginegialle.it/calabria/tropea/veterinari.html;manuale;62;58;C;Due schede directory con stesso indirizzo fuse in una sola.;;
Ambulatorio Veterinario Zama;Ambulatori veterinari;Cani, gatti e animali esotici (roditori, pappagalli, rettili, furetti);Faenza;RA;Emilia-Romagna;Via Boito, 18 - 48018;;zenrico@yahoo.it;+39 0546661197;;;;Dr. Giuliano Zama (direttore sanitario);TuoVet;https://www.tuovet.it/scheda/ambulatorio-veterinario-zama/;manuale;77;71;B;Email come pubblicata nella scheda TuoVet.;;
Ambulatorio Veterinario Gaddoni;Ambulatori veterinari;Medicina generale, chirurgia, degenza, diagnostica per immagini, analisi di laboratorio;Faenza;RA;Emilia-Romagna;Via delle Vigne, 18 - 48018;;;+39 054632384;;;;Dott. Mauro Gaddoni (direttore sanitario);CaniInCasa.it;https://www.caniincasa.it/veterinari/ambulatorio-veterinario-gaddoni/;manuale;69;60;C;Numero come pubblicato sulla fonte (054632384): da riverificare prima del contatto. Scheda aggiornata a novembre 2025.;;
Ambulatorio Veterinario Dott.ssa Gamberini e Laghi e Bagnari;Ambulatori veterinari;;Faenza;RA;Emilia-Romagna;48018 Faenza (indirizzo non visibile nello snippet);;;;;;;Dott.ssa Gamberini;MyAdj.it;https://www.myadj.it/ra/veterinario/ambulatorio-veterinario-gaddoni;manuale;54;39;D;Dati minimi da directory: scheda da integrare.;;
Studio Veterinario Tivoli;Ambulatori veterinari;;Tivoli;RM;Lazio;Via Acquaregna, 6/8 - 00019;http://studioveterinariotivoli.weebly.com/;;+39 0774330544, +39 3425991477;;;;;Sito ufficiale;http://studioveterinariotivoli.weebly.com/dove-siamo.html;manuale;62;62;C;Email presente ma offuscata nel sito (non registrata).;;
Ambulatorio Veterinario Dr. Martino Cocca (Ambulatorio Crispi);Ambulatori veterinari;"Medicina e chirurgia cani, gatti e piccoli esotici; ecografia, RX, endoscopia; reperibilità notturna e festivi";Campobasso;CB;Molise;Via Alfredo Trombetta, 38/40/42 - 86100;https://coccaveterinario.bdf.land/;ambulatorio.crispi@libero.it;+39 0874483580, +39 3332411108;;;;Dr. Martino Cocca;Sito ufficiale / PagineBianche;https://coccaveterinario.bdf.land/;manuale;85;85;A;Reperibilità notturna/festivi dichiarata: punto di riferimento per urgenze.;;
Ambulatorio Veterinario Pezzuto e Piano;Ambulatori veterinari;;Campobasso;CB;Molise;Via Puglia, 6 - 86100;;pezzutoepiano@gmail.com;+39 3479461198;;;;"Dott. Pezzuto; Dott. Piano";PagineBianche;https://www.paginebianche.it/molise/campobasso/veterinari.html;manuale;69;68;B;Attenzione al possibile omonimo 'Pizzuto' (altra sede): schede distinte.;;
Ambulatorio Veterinario Dr. Spensieri;Ambulatori veterinari;;Campobasso;CB;Molise;Piazza Molise, 20 - 86100;;;+39 087464710;;;;Dr. Spensieri;OrariDiApertura24;https://www.oraridiapertura24.it/filiale/Campobasso-Ambulatorio%2520Veterinario%2520%2528Dr.%2520Spensieri%2529-597056K.html;manuale;62;54;C;Numero a 9 cifre come da fonte: verificare. | Sito grezzo non utilizzabile: www.struttureveterin... (URL troncato nella fonte);;
Ambulatorio Veterinario Pizzuto S.a.s. di Cholewinska Mariola Ewa & C.;Ambulatori veterinari;;Campobasso;CB;Molise;Via Giovanni XXIII Papa, 41 - 86100;;;+39 0874411717, +39 3290237140;;;;Mariola Ewa Cholewinska;PagineBianche;https://www.paginebianche.it/molise/campobasso/veterinari.html;manuale;62;54;C;Nome simile a 'Pezzuto e Piano' ma indirizzo e ragione sociale diversi: attività distinta.;;
Ambulatorio Veterinario Bolle Dr. Roberto;Ambulatori veterinari;Medicina e chirurgia piccoli animali, cardiologia, diagnostica ecografica;Alba;CN;Piemonte;Corso Bra, 46 - 12051;;;+39 0173364610;;;;Dr. Roberto Bolle;ReteImprese / Yelp;https://m.yelp.com/biz/ambulatorio-veterinario-bolle-roberto-alba;manuale;69;60;C;Scheda Yelp aggiornata ad agosto 2026.;;
Ambulatorio Veterinario Currado Dr. Bruno e Dott.ssa Paola;Ambulatori veterinari;;Alba;CN;Piemonte;Corso Cortemilia, 3 - 12051;;;+39 0173440842, +39 3391258125;;;;"Dr. Bruno Currado; Dott.ssa Paola";ReteImprese / ClinicaVeterinaria24;https://www.clinicaveterinaria24.it/cliniche_veterinarie/scheda_clinica_veterinaria/ambulatorio-veterinario-currado-dr-bruno/464;manuale;62;54;C;Due directory concordano su indirizzo e numeri.;;
Fuori le Mura - Ambulatorio Veterinario;Ambulatori veterinari;;Altamura;BA;Puglia;Via Maestri del Lavoro, 4 - 70022;;;+39 0803103554;;;;Dott. Nicola Colamonaco;PagineBianche;https://www.paginebianche.it/puglia/altamura/veterinari.html;manuale;62;54;C;"La voce 'Colamonaco Nicola' (Via Madonna della Croce 128) riporta lo stesso numero 080 3103554: probabile stesso studio; tenuta un'unica scheda.";;
Centro Veterinario Sant'Anna;Ambulatori veterinari;;Altamura;BA;Puglia;Via Giorgio Almirante, 83 - 70022;;;+39 0803114021, +39 3493619669;;;;;PagineBianche;https://www.paginebianche.it/puglia/altamura/veterinari.html;manuale;54;52;C;Fuse in un'unica scheda le voci 'Centro Medico Veterinario Sant'Anna' (V. G. Almirante snc, 349 3619669) e 'Centro Veterinario Sant'Anna' (V. G. Almirante 83, 080 3114021, con sito web indicato ma URL non visibile nello snippet).;;
Centro Veterinario Barus;Ambulatori veterinari;;Altamura;BA;Puglia;Via Monti Vincenzo, 6 - 70022;;;+39 0802472340, +39 3884436009;;;;;PagineBianche;https://www.paginebianche.it/puglia/altamura/veterinari.html;manuale;54;48;D;;;
Ambulatorio Veterinario Associato Sant'Antonio (Dr. Felce e Mundula);Ambulatori veterinari;Ambulatorio con pronto soccorso, day hospital, terapia intensiva, degenza pre/post operatoria;Quartu Sant'Elena;CA;Sardegna;Via Olanda, 22 - 09045;;ambvetassociatosantantonio@gmail.com;+39 0704513334, +39 3313107470, +39 3337341680;;;;"Dr. Gianfranco Alfonsi; Dott.ssa Tasha Felce; Dr. Gianluigi Mundula";PagineGialle / Virgilio / Opendi;https://www.paginegialle.it/ambulatorioveterinarioquartusantelena;manuale;77;75;B;"Tre directory concordano; recensione positiva recente citata su Virgilio (5 giorni prima della ricerca).";;
Ambulatorio Veterinario Finocchiaro Dott.ssa Alessandra;Ambulatori veterinari;"Animali domestici; vasta gamma di servizi veterinari";Aci Catena;CT;Sicilia;Via Vampolieri, 9/L - 95022;;;+39 3472291257;;;;Dott.ssa Alessandra Finocchiaro;PagineBianche;https://www.paginebianche.it/sicilia/acireale/clinica-veterinaria.html;manuale;69;55;C;Rating 5,0 (1 recensione) su PagineBianche. Nuova copertura comune Aci Catena.;;
Ambulatorio Veterinario San Filippo;Ambulatori veterinari;;Aci Catena;CT;Sicilia;Via Paolo Motta, 9 - 95022;;;+39 3384383874;;;;;PagineBianche / VeterinarioVicino;https://www.paginebianche.it/sicilia/acireale/clinica-veterinaria.html;manuale;54;36;D;VeterinarioVicino riporta 'Via S. Paolo, 9': stessa via, grafia diversa.;;
Ambulatorio Veterinario Sant'Antonio;Ambulatori veterinari;;Aci Sant'Antonio;CT;Sicilia;Via Vittorio Emanuele, 83 - 95025;;;;;;;;VeterinarioVicino;https://veterinariovicino.com/ambulatorio-veterinario/acireale;manuale;46;36;D;Nuova copertura comune Aci Sant'Antonio.;;
Ambulatorio Veterinario Chiara Fiorini;Ambulatori veterinari;;Acireale;CT;Sicilia;Via Francesco Guicciardini, 1B - 95024;;;;;;;Dott.ssa Chiara Fiorini;VeterinarioVicino;https://veterinariovicino.com/ambulatorio-veterinario/acireale;manuale;54;42;D;Telefono non pubblico nello snippet (pulsante 'Chiama').;;
Ambulatorio Veterinario Greco Tiziana;Ambulatori veterinari;;Acireale;CT;Sicilia;Via Lombardia, 7 - 95024;;;;;;;Dott.ssa Tiziana Greco;VeterinarioVicino;https://veterinariovicino.com/ambulatorio-veterinario/acireale;manuale;54;42;D;Voto 5 segnalato dalla directory.;;
Ambulatorio Veterinario Dott.ssa Annalisa Pupillo;Ambulatori veterinari;;Acireale;CT;Sicilia;;;;;;;;Dott.ssa Annalisa Pupillo;GuidaSicilia;https://acireale.guidasicilia.it/azienda/catania/acireale/veterinaria-ambulatori-e-laboratori/centro-veterinario-acese-di-bata-c/1051340;manuale;46;31;D;Da integrare con indirizzo e recapiti.;;
Ambulatorio Veterinario Dr.ssa Elisabetta Innocenti;Ambulatori veterinari;Animali esotici: tartarughe e rettili;Empoli;FI;Toscana;Viale Giovanni Boccaccio, 161/C - 50053;;ambvetie@virgilio.it;+39 057182563;;;;Dr.ssa Elisabetta Innocenti;Tartapedia;https://tartapedia.it/veterinari-della-provincia-di-firenze-per-tartarughe-e-rettili/;manuale;77;74;B;Fonte specializzata (aggiornata 2024).;;
Ambulatorio Veterinario Dott.ssa Barbara Moretti;Ambulatori veterinari;Animali da compagnia;Empoli;FI;Toscana;Via Campania, 19 - 50053;;;+39 0571590123, +39 3386860175;;;;Dott.ssa Barbara Moretti;PagineBianche;https://www.paginebianche.it/toscana/empoli/ambulatorio-veterinario.html;manuale;69;61;C;;;
Ambulatorio Veterinario Santa Maria (Dott. Dante Delle Rose);Ambulatori veterinari;;Empoli;FI;Toscana;Via San Mamante, 4 - 50053;;;+39 0571844151, +39 3382968983;;;;Dott. Dante Delle Rose;PagineGialle / PagineBianche;https://www.paginegialle.it/toscana/empoli/veterinari.html;manuale;62;58;C;"PagineGialle indica 'Sito web' ma URL non visibile nello snippet; il Dott. Delle Rose è elencato allo stesso indirizzo.";;
Ambulatorio Veterinario Empolese - Dr. Dario Parlanti;Ambulatori veterinari;;Empoli;FI;Toscana;Via Giambologna, 9 - 50053;;;+39 0571527278, +39 3348177716;;;;Dr. Dario Parlanti;PagineGialle;https://www.paginegialle.it/toscana/empoli/veterinari.html;manuale;62;54;C;;;
Ambulatorio Veterinario Dott.ssa Lucia Stefani;Ambulatori veterinari;;Empoli;FI;Toscana;Via Giovanni Amendola, 20 - 50053;;;+39 0571710334;;;;Dott.ssa Lucia Stefani;PagineGialle;https://www.paginegialle.it/toscana/empoli/veterinari.html;manuale;62;54;C;;;
Ambulatorio Veterinario Festa (Dott. Ezio Festa);Ambulatori veterinari;"Dermatologia, ortopedia, cardiologia, oculistica, comportamentali; anche animali non convenzionali";Bassano del Grappa;VI;Veneto;Vicolo Ca' Erizzo, 11 - 36061;http://www.festaambvet.eu;info@festaambvet.eu;+39 0424527912;;;;Dott. Ezio Festa;PagineBianche;https://www.paginebianche.it/ambulatorioveterinariofesta-bassanodelgrappa;manuale;85;85;A;Visite comportamentali = sinergia diretta con PetNote. Orari pubblicati. Fuse le voci 'Dott. Ezio Festa' e 'Ambulatorio Veterinario Festa' (stesso indirizzo).;;
Ambulatorio Veterinario Bontorin Stefania;Ambulatori veterinari;;Bassano del Grappa;VI;Veneto;Via Muhlacker, 1 - 36061;;;+39 3661311521;;;;Dott.ssa Stefania Bontorin;PagineBianche;https://www.paginebianche.it/veneto/bassano-del-grappa/clinica-veterinaria.html;manuale;62;54;C;;;
Ambulatorio Veterinario Blaas - Bano;Ambulatori veterinari;;Bassano del Grappa;VI;Veneto;Via Volpato, 14 - 36061;;;+39 0424503051, +39 3486833362;;;;;PagineBianche;https://www.paginebianche.it/veneto/bassano-del-grappa/veterinari.html;manuale;54;52;C;12 recensioni citate su PagineBianche.;;
Ambulatorio Veterinario Venezian;Ambulatori veterinari;;Bassano del Grappa;VI;Veneto;Via Prato Santa Caterina, 5 - 36061;;;+39 0424228740, +39 0424042761, +39 337478345;;;;;PagineBianche;https://www.paginebianche.it/veneto/bassano-del-grappa/veterinari.html;manuale;54;48;D;PagineBianche indica anche 0424 042762 come ulteriore linea.;;
Ambulatorio Veterinario Tre Ponti;Ambulatori veterinari;;Bassano del Grappa;VI;Veneto;Via Tre Ponti, 25 - 36061;;;+39 0424504671, +39 3478995207;;;;;PagineBianche;https://www.paginebianche.it/veneto/bassano-del-grappa/veterinari.html;manuale;54;48;D;;;
I Randagi di Isola di Capo Rizzuto;Associazioni animaliste;Recupero randagi e adozioni (anche al Nord Italia);Isola di Capo Rizzuto;KR;Calabria;;https://irandagidisola.it/;irandagidiisoladicaporizzuto@gmail.com;+39 3343019914, +39 3407269241;;;;;AnnunciAnimali.it;https://www.annuncianimali.it/regalo/cani/vicino-a-me/bassano-del-grappa-vicenza/;manuale;69;61;C;"Nuova copertura regionale Calabria (KR): emersa da annuncio nazionale di adozione. | Instagram: Instagram Direct attivo (handle da ricavare); Facebook: Facebook Messenger attivo";;
ENPA Faenza - Ente Nazionale Protezione Animali;Associazioni animaliste;Protezione animali, sterilizzazioni, sensibilizzazione scolastica, adozioni;Faenza;RA;Emilia-Romagna;Via Laderchi, 3 - 48018;http://www.rifugiodelcanefaenza.org;faenza@enpa.org;+39 0546661203;;;;;Rete civica R@cine (Provincia di Ravenna);https://www.racine.ra.it/Risorse/ODV-Organizzazioni-di-Volontariato/Tutela-e-promozione-dei-diritti/E.N.P.A.-Ente-Nazionale-Protezione-Animali-Faenza;manuale;77;69;B;Fonte istituzionale (rete civica provinciale): dati molto affidabili. ⧉ Struttura gestita da ENPA Faenza (stessa organizzazione, scheda separata per categoria canile).;;
ALFA - Associazione Love For Animals OdV;Associazioni animaliste;"Adozioni e contrasto al randagismo in collaborazione con il Comune di Tivoli; 400 adozioni in 5 anni";Tivoli;RM;Lazio;;https://associazione-alfa.org/;adozioni@associazione-alfa.org;+39 3296595516;;;;;Sito ufficiale + Comune di Tivoli + Doggami;https://associazione-alfa.org/tivoli-per-gli-animali-400-adozioni-in-soli-5-anni/;manuale;69;61;C;I recapiti corrispondono a quelli della mappa canili Doggami (verifica incrociata). Partner ideale per progetto adozioni.;;
L'Amico Fedele Onlus - Associazione di volontariato;Associazioni animaliste;Rifugio e adozioni;Cormano;MI;Lombardia;;http://www.lamicofedele.it;contatti@lamicofedele.it;;;;;;Doggami (mappa canili);https://doggami.it/mappa-canili/;manuale;62;43;D;Prima copertura Lombardia (MI): comune da confermare sul sito. | Nota sede: da confermare;;
A.N.P.A. Alba Langhe e Roero ODV;Associazioni animaliste;Tutela animali, adozioni dal rifugio convenzionato, sensibilizzazione nelle scuole;Alba;CN;Piemonte;Via San Frontiniano, 17 - 12051;;anpa-alba@tiscali.it;+39 3358129997;;;;;CSV Cuneo (Centro Servizi Volontariato);https://www.csvcuneo.it/a-n-p-a-alba-langhe-e-roero-odv/;manuale;69;55;C;Fonte istituzionale (CSV): dati affidabili. | Facebook: Facebook: Anpa Alba Langheroero;;
Lega Nazionale per la Difesa del Cane - Sezione di Altamura (LNDC Altamura);Associazioni animaliste;Adozioni, sterilizzazioni, tutela randagi;Altamura;BA;Puglia;"Sede legale: Viale Regina Margherita, 96/b - 70022; sede operativa: Contrada La Macchia";https://www.legadelcanealtamura.com/;lndc.altamura@gmail.com;+39 3398553058, +39 3349993833;;;;;Sito ufficiale;https://www.legadelcanealtamura.com/;manuale;77;69;B;Sito proprio con catalogo adozioni: buon livello di digitalizzazione per un'associazione.;;
Bau Club Onlus;Associazioni animaliste;"Adozioni dal rifugio; cooperativa di volontari";Quartu Sant'Elena;CA;Sardegna;;;;+39 3283661490;;;;;Portale del Comune di Quartu Sant'Elena;https://www.quartusantelena.org/it/servizi/associazioni/bau-club-onlus;manuale;54;33;D;Fonte istituzionale comunale. Citata anche come sponsor tecnico sul sito del Centro Striulli.;;
Organizzazione di volontariato Amico Mio Odv;Associazioni animaliste;Progetto 'Adotta un cane dal canile' con il Comune di Quartu Sant'Elena;Sestu;CA;Sardegna;;https://www.associazioneamicomio.it/;;;;;;;Sito ufficiale;https://www.associazioneamicomio.it/;manuale;54;38;D;"Sito aggiornato (news aprile 2026); nuova copertura comune Sestu.";;
ENPA Bassano del Grappa;Associazioni animaliste;"Tutela legale, recupero e adozione; attiva dal 2004";Bassano del Grappa;VI;Veneto;;https://enpabassano.org/;;;;;;;Sito ufficiale;https://enpabassano.org/;manuale;54;38;D;Sito aggiornato (ottobre 2025).;;
LNDC - Sezione di Bassano del Grappa;Associazioni animaliste;Gestione adozioni del canile sanitario di Pove del Grappa;Bassano del Grappa;VI;Veneto;;;;+39 3339233037;;;;;Wikimapia;http://wikimapia.org/4063602/it/Canile-Sanitario-di-Pove-del-Grappa;manuale;54;33;D;Stesso numero del canile (adozioni): verificare attualità del recapito.;;
Canile di Villotta di Chions;Canili;Rifugio canile;Chions;PN;Friuli-Venezia Giulia;Villotta (frazione di Chions);;info@rifugiodivillotta.org;+39 0434630420;;;;;Doggami (mappa canili);https://doggami.it/mappa-canili/;manuale;69;55;C;Prima copertura Friuli-Venezia Giulia.;;
Canile Comunale di Campobasso;Canili;Canile comunale (convenzione OIPA Campobasso);Campobasso;CB;Molise;;https://www.oipa.org/italia/sezioni/campobasso.html;;+39 0874405576, +39 3478401973;;;;;Doggami (mappa canili);https://doggami.it/mappa-canili/;manuale;62;47;D;Struttura pubblica. ⧉ Stessa numerazione del canile comunale (referente gestione).;;
Canile comunale di prima accoglienza di Alba;Canili;Canile comunale di prima accoglienza;Alba;CN;Piemonte;Località Toppino, 15 - 12051;;amicidizampa@tiscali.it;+39 0173362000, +39 3356915647;;;;;CercoCane.com;https://www.cercocane.com/canili-e-rifugi/piemonte-canili-e-rifugi/;manuale;69;58;C;Email amicidizampa: verificare se gestita da associazione convenzionata. Fonte aggiornata a dicembre 2024.;;
Canile Siddi Maria Cristina;Canili;;Alba;CN;Piemonte;Corso Barolo, 27 - 12051;;;;;;;Maria Cristina Siddi;CercoCane.com;https://www.cercocane.com/canili-e-rifugi/piemonte-canili-e-rifugi/;manuale;54;29;D;Senza recapiti pubblici nella fonte: da integrare.;;
Canile Municipale di Cuneo;Canili;Canile municipale;Cuneo;CN;Piemonte;;;;+39 0171444892;;;;;Cybo;https://www.cybo.com/IT/cuneo/animal-shelter/;manuale;54;39;D;Struttura pubblica: eventuale partnership richiede iter con Comune/associazione gestrice.;;
Vicino & Vicino;Canili;Rifugio/canile;Caltagirone;CT;Sicilia;Contrada Renelle - 95041;;;+39 093360289;;;;;CercoCane.com;https://www.cercocane.com/canili-e-rifugi/sicilia-canili-e-rifugi/;manuale;62;44;D;"Nuova copertura comune Caltagirone; fonte dicembre 2024.";;
Canile ARCA;Canili;Canile rifugio;Empoli;FI;Toscana;;;;;;;;;animaliadozionetoscana.wordpress.com;https://animaliadozionetoscana.wordpress.com/caniligattili/;manuale;46;18;D;Fonte del 2016: verificare operatività e recapiti prima del contatto.;;
Canile Sanitario di Pove del Grappa;Canili;"Canile sanitario convenzionato ULSS 3; adozioni gestite da LNDC Bassano";Pove del Grappa;VI;Veneto;Via Ca' Morolazzaro;;;+39 3339233037;;;;;Wikimapia;http://wikimapia.org/4063602/it/Canile-Sanitario-di-Pove-del-Grappa;manuale;62;38;D;Telefono da commento Wikimapia di ca. 10 anni fa: da verificare prima dell'uso.;;
Manuela Mariagrazia M. - Pensione per gatti felici;Cat sitter;Pensione casalinga per gatti;Acireale;CT;Sicilia;;;;;;;;Manuela Mariagrazia M.;Pawshake;https://www.pawshake.it/pensione-per-cani/acireale-sicilia;manuale;54;27;D;"Professionista attiva su piattaforma Pawshake; contatto tramite piattaforma. | Nota sede: e dintorni";;
Il Richiamo - Centro Cinofilo;Centri cinofili;"Educazione consapevole del cane; rieducazione comportamentale; sport cinofili";Faenza;RA;Emilia-Romagna;;https://www.ilrichiamo.com/;;;;;;"Mauro Santarelli (cofondatore, direttore tecnico, addestratore ENCI); Monica Ruggeri (cofondatrice, educatrice)";Sito ufficiale;https://www.ilrichiamo.com/;manuale;62;49;D;Sito ricco di contenuti formativi: ottimo candidato per partnership educative.;;
ASD Mr Dog;Centri cinofili;"Centro di formazione cinofila; sede corsi per educatori";Faenza;RA;Emilia-Romagna;;;;;;;;Monia Tagliaferri, Federica Savorani (educatrici/docenti);FormazioneCinofila.eu;https://www.formazionecinofila.eu/educatore-cinofilo-professionista;manuale;54;32;D;Contatti non nello snippet: da integrare.;;
Centro Cinofilo di Albascura;Centri cinofili;"Educazione di base e risoluzione problemi comportamentali; attivo dal 1991";Alba;CN;Piemonte;;https://www.dialbascura.com/educazione-e-addestramento/;;;;;;Roberto Mannu (addestratore ENCI sez.1 dal 2007);Sito ufficiale;https://www.dialbascura.com/educazione-e-addestramento/;manuale;62;46;D;Indirizzo e recapiti sul sito da verificare.;;
Centro Cinofilo Erika Striulli - ACAFOC SSD arl;Centri cinofili;"Educazione relazionale, rieducazione, pet therapy, zooantropologia; formazione educatori e operatori di canile; sedi sarde multiple";Quartu Sant'Elena;CA;Sardegna;Via Serra Perdosa, f.c. 60 - 09045;https://www.erikastriulli.it/;info@erikastriulli.it;+39 3497207357;;;;"Dott.ssa Erika Striulli; staff: Carlo Corrado, Michela Piseddu, Claudia Vacca";Sito ufficiale;https://www.erikastriulli.it/;manuale;85;83;A;Struttura formativa completa: potenziale partner di primo piano in Sardegna.;;
Centro Cinofilo Mi Fido di Te - Sede Quartu Sant'Elena;Centri cinofili;Educazione cinofila, formazione educatori III livello ASC (sede corso 2026-2027);Quartu Sant'Elena;CA;Sardegna;Via Lago Taloro, 5 - 09045;https://www.mifidodite.com/;;;;;;Milko Congia e Noemi Perra (direttori di corso);Sito ufficiale;https://www.mifidodite.com/corso-educatore-cinofilo-cagliari/;manuale;69;60;C;Sede del corso educatori 2026-2027: centro di formazione attivo.;;
ASD Centro Cinofilo Il Lupo - Scuola di Educazione Cinofila;Centri cinofili;Educazione base/avanzata, puppy class, recupero comportamentale, attività assistite nelle scuole, agility;Empoli;FI;Toscana;"Via della Nave di Marcignana - 50053 (sede sito ufficiale); Cani.com riporta Via della Piovola, 61";https://www.lupocinofilia.it/;sauro.lupo@gmail.com;+39 3296118131;;;;Sauro Carraesi (addestratore ENCI, diploma SIUA);Sito ufficiale / Cani.com;https://www.lupocinofilia.it/educatore-cinofilo-firenze-empoli/;manuale;85;83;A;"Doppia sede indicata dalle fonti; le consulenze post-affido dal canile = sinergia diretta con PetNote.";;
Maverick Dog - Centro Cinofilo;Centri cinofili;Addestramento cinofilo, dog sitting, asilo cinofilo;Empoli;FI;Toscana;Via Valdarno, 5c - 50053;;;+39 3406543158, +39 3339337014;;;;;ToscanaShopping;https://toscanashopping.it/attivita/addestratore-cinofilo-dog-sitter-empoli-maverick-dog/;manuale;62;49;D;Email presente ma offuscata nella fonte (non registrata). Scheda del 2022: verificare operatività.;;
Centro Cinofilo Bauhaus Bassano;Centri cinofili;Pensione per cani e percorsi di educazione;Bassano del Grappa;VI;Veneto;Strada Sette Case, 100 - 36061;https://www.bauhausbassano.com;info@bauhausbassano.com;+39 3338105454;;;https://www.facebook.com/bauhausbassano/;;Facebook;https://www.facebook.com/bauhausbassano/;manuale;85;84;A;Pagina FB recente (42 like) ma sito e email propri.;;
